,Unnamed: 0,id,depart,fromTaz,toTaz,route,cluster
8713,8713,13.44,3168,10,12,537@456#0,0
8714,8714,90.22,3168,7,12,362@363#0,0
8715,8715,108.66,3168,8,8,643@365#0,0
8716,8716,120.161,3168,9,9,537@456#0,0
8717,8717,115.312,3112,9,15,520@641#0 641@471#0,13
8718,8718,114.17,3155,9,14,456@409#0,0
8719,8719,67.87,3164,2,10,36@34#0,2
8720,8720,60.257,3169,15,15,581@468#0,0
8721,8721,72.169,3169,2,2,467@19#0,1
8722,8722,111.147,3169,9,10,537@456#0,0
8723,8723,37.85,3123,13,14,513@363#0 363@364#0 364@512#0 512@475#0,5
8724,8724,93.133,3050,7,15,543@415#0 415@408#0 408@611#0 611@417#0 417@418#0 418@66#0 66@529#0 529@607#0 607@601#0,18
8725,8725,89.34,3139,7,10,448@325#0 325@78#0 78@409#0,10
8726,8726,82.177,3171,6,15,581@468#0,0
8727,8727,45.44,3168,14,10,409@93#0,1
8728,8728,0.52,3173,1,1,450@574#0,0
8729,8729,104.178,3173,8,15,515@470#0,0
8730,8730,93.134,3073,7,15,543@415#0 415@408#0 408@611#0 611@417#0 417@418#0 418@66#0 66@529#0 529@607#0 607@601#0,18
8731,8731,110.147,3169,9,1,520@641#0,0
8732,8732,94.55,3094,7,2,448@325#0 325@78#0 78@409#0 409@93#0 93@114#0,15
8733,8733,20.6,3177,10,8,537@456#0,0
8734,8734,31.15,3177,12,8,650@460#0,0
8735,8735,86.6,3177,6,8,470@515#0,0
8736,8736,98.48,3086,7,9,448@325#0 325@78#0 78@409#0 409@538#0 538@456#0,20
8737,8737,48.113,3179,14,14,201@558#0,0
8738,8738,66.151,3179,2,1,467@19#0,1
8739,8739,55.78,3120,15,1,411@432#0 432@450#0,13
8740,8740,68.58,3164,2,12,34@33#0 33@537#0 537@456#0,3
8741,8741,36.53,3180,13,13,643@365#0,0
8742,8742,62.68,3180,15,6,581@468#0,0
8743,8743,100.53,3180,8,10,537@456#0,0
8744,8744,16.149,3083,10,15,456@455#0 455@462#0 462@575#0 575@460#0 460@464#0 464@511#0 511@365#0 365@619#0 619@47#0,24
8745,8745,5.86,3128,1,15,641@471#0,0
8746,8746,116.196,3179,9,2,630@620#0,0
8747,8747,60.258,3181,15,15,581@468#0,0
8748,8748,14.48,3086,10,13,409@78#0 78@325#0 325@540#0 540@541#0 541@448#0 448@312#0 312@512#0 512@364#0 364@363#0 363@568#0,34
8749,8749,87.53,3180,6,9,520@641#0,0
8750,8750,80.38,3182,6,13,515@470#0,0
8751,8751,106.38,3182,8,6,515@470#0,0
8752,8752,38.122,3183,13,15,515@470#0,0
8753,8753,112.99,3183,9,12,537@456#0,0
8754,8754,61.93,3044,15,2,471@631#0 631@640#0 640@520#0 520@516#0 516@23#0,20
8755,8755,70.152,3182,2,14,536@461#0,0
8756,8756,83.61,3138,6,2,640@520#0 520@516#0 516@23#0,11
8757,8757,76.122,3183,2,9,620@630#0,0
8758,8758,32.23,3185,12,9,537@456#0,0
8759,8759,92.69,3185,7,14,341@498#0,0
8760,8760,16.148,3062,10,15,456@455#0 455@462#0 462@575#0 575@460#0 460@464#0 464@511#0 511@365#0 365@619#0 619@47#0,24
8761,8761,61.94,3077,15,2,471@631#0 631@640#0 640@520#0 520@516#0 516@23#0,20
8762,8762,74.72,3086,2,7,114@93#0 93@409#0 409@78#0 78@325#0 325@540#0 540@541#0,14
8763,8763,16.15,3104,10,15,456@455#0 455@462#0 462@575#0 575@460#0 460@464#0 464@511#0 511@365#0 365@619#0 619@47#0,24
8764,8764,79.25,3104,6,12,515@47#0 47@365#0 365@511#0,10
8765,8765,115.313,3122,9,15,520@641#0 641@471#0,13
8766,8766,74.73,3129,2,7,114@93#0 93@409#0 409@78#0 78@325#0 325@540#0 540@541#0,14
8767,8767,64.1,3186,15,8,470@515#0,0
8768,8768,16.147,3043,10,15,456@455#0 455@462#0 462@575#0 575@460#0 460@464#0 464@511#0 511@365#0 365@619#0 619@47#0,24
8769,8769,120.162,3187,9,9,537@456#0,0
8770,8770,22.14,3150,12,1,483@28#0 28@520#0,12
8771,8771,72.17,3188,2,2,19@467#0,1
8772,8772,82.178,3188,6,15,581@468#0,0
8773,8773,37.86,3160,13,14,513@363#0 363@364#0 364@512#0 512@475#0,5
8774,8774,97.51,3166,7,8,617@615#0 615@614#0 614@613#0,6
8775,8775,119.124,3189,9,8,537@456#0,0
8776,8776,115.314,3132,9,15,520@641#0 641@471#0,13
8777,8777,33.68,3139,13,1,641@471#0,0
8778,8778,104.179,3190,8,15,470@515#0,0
8779,8779,39.71,3080,13,2,471@631#0 631@640#0 640@520#0 520@516#0 516@23#0,20
8780,8780,61.95,3110,15,2,471@631#0 631@640#0 640@520#0 520@516#0 516@23#0,20
8781,8781,105.74,3172,8,2,456@33#0 33@34#0,4
8782,8782,111.148,3191,9,10,537@456#0,0
8783,8783,114.171,3174,9,14,456@409#0,0
8784,8784,110.148,3191,9,1,520@641#0,0
8785,8785,42.47,3193,13,8,643@365#0,0
8786,8786,60.259,3193,15,15,581@468#0,0
8787,8787,113.101,3135,9,13,520@641#0 641@471#0,13
8788,8788,109.71,3195,8,9,537@456#0,0
8789,8789,34.46,3067,13,10,513@363#0 363@364#0 364@512#0 512@312#0 312@448#0 448@325#0 325@78#0 78@409#0,33
